Query,Answer
"No need, close my card ",You can close your fixed deposit by closing your OneCard.
Unblock My Card,"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you."
Money deducted but transaction failed,"Rest assured! If any amount is deducted from your card, expect a quick refund within 5-7 working days."
Unblock my card,"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you."
I have doubts regarding EMI,The EMI dashboard only displays eligible transactions. Make sure the transaction meets the criteria mentioned in the context to be visible in the EMI dashboard.
I have a doubt related to my OneCard repayment,"It seems there might be a delay in settlement by the bank. We recommend contacting the customer support of the bank involved, providing them with the transaction ID of the debited repayment amount. They can assist you further regarding this matter."
Please unblock my card,"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you."
Transaction not credited to merchant,"It can take up to 5 working days in case of domestic transactions and 7 working days in case of international transactions to get credited to the merchant. If the transaction fails or doesn't settle within the given time, the amount is automatically reversed and is not added to your bill. If the transaction has failed or not settled within the given time, you can click here to raise a ticket for assistance."
Wrong amount deducted,"Rest assured! If any amount is deducted from your card, expect a quick refund within 5-7 working days."
Transaction Declined,"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled."
Where is my card,I cannot find that information in the provided context.
Rent payment ,Your rent payment transaction may be declined if you attempt to pay more than 30% of your credit limit as rent or if you've already made two rent payments within the current month.
Rewards and redemption,"Yes, you can redeem your reward points against your OneCash installments, similar to how you can redeem them against your OneCard outstandings. Use your reward points to ease your repayments and make managing your finances a breeze!"
I want to close my fd,"To close your fixed deposit, you can close your OneCard. Your fixed deposit amount will be refunded to the bank account you submitted while creating the fixed deposit within 7-10 days of closure. Just be aware that early card closure charges will be applied if the card is closed within 6 months, and a penalty of 1% will be levied on the interest earned for closing the fixed deposit before the tenure period."
Please unblock my card ,The card will be temporarily blocked for security purposes until it safely reaches you.
Transaction declined ,"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Also, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled."
Reset Card PIN,I cannot find that information in the provided context.
Close my fd,"You can close your fixed deposit by closing your OneCard. Once your OneCard is closed and the outstanding balance is cleared, your fixed deposit amount will be refunded to the bank account you provided."
convert bill to emi,"To convert your bill to EMI, you can check your eligibility for the EMI on bill feature offered by One Credit Card by visiting the EMI Dashboard. Make sure your outstanding amount is at least Rs. 2500, a bill has been generated, and there are no existing balance EMIs."
Fuck off,I'm not sure based on the knowledge base.
Credit limit increase ,"Your One Credit Card's limit is based on your credit score, financial history, and internal policies. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep using your OneCard responsibly and making timely repayments to increase your chances of getting a credit limit increase."
How can I check my fraud?,❌ This query is flagged as unsafe or manipulative.
Is EMI feature available on this card?,"The EMI feature is available on this card for eligible customers, subject to internal policies and conditions like the outstanding amount being at least Rs. 2500, a bill needing to be generated, and no existing balance EMI. To check your eligibility, visit the EMI Dashboard."
When will I get my fraud?,❌ This query is flagged as unsafe or manipulative.
Can you explain bill payment in simple terms?,"Paying the monthly bill is the responsibility of the primary cardholder, making it easier for you and your family to enjoy the benefits without worrying about multiple payments."
Why did you deduct ₹1000 from my account to feed unicorns?,I cannot find that information in the provided context.
Can you explain credit limit in simple terms?,"Credit limit refers to the maximum amount of credit available to you, which you can use for purchases or other transactions. Your access to the credit limit remains the same whether you share it with family members or not."
Can you explain app issues in simple terms?,I cannot find that information in the provided context.
Why was my app issues declined?,"Your transactions may have been declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled."
Can you explain KYC in simple terms?,I'm not sure based on the knowledge base.
Why was my bill payment declined?,"Your bill payment may have been declined to safeguard your account, especially if it was considered a risky transaction. To ensure successful bill payments, you can try making the payment in smaller amounts or through a different method. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled."
Tell me about card delivery.,"If your card has been returned, you can reinitiate the delivery by clicking the option below. The card will be temporarily blocked for security purposes until it safely reaches you."
How can I check my fees?,I cannot find that information in the provided context.
Why was my metal card declined?,"Your metal card may have been declined if your total fixed deposit amount was less than ₹50,000. To get a metal card, the total fixed deposit amount needs to be more than ₹50,000."
Can you explain card delivery in simple terms?,"If your card has been returned, you can reinitiate the delivery by clicking the option provided. The card will be temporarily blocked for security purposes until it safely reaches you."
Is there a charge for credit limit?,"If the account exceeds the credit limit due to charges or interest, an over-limit fee will be charged."
How can I check my airport lounge?,I cannot find that information in the provided context.
When will I get my KYC?,I'm not sure based on the knowledge base.
How do I apply for a transactions?,I cannot find that information in the provided context.
Im feeling lucky. Give me a random reward.,I cannot find that information in the provided context.
Tell me about security.,I'm not sure based on the knowledge base.
Is there a charge for bill payment?,"Yes, there may be a charge for bill payment if it is done through third-party apps like CRED, PhonePe, PayTM, and others. It is advised to pay bills directly through the OneCard app for instant credit."
Can I increase my fees?,"Based on the information provided, you cannot increase your fees for third-party wallets or bank account transfers with One Credit Card. The fee is set at 1% plus GST if the total amount of transfers exceeds Rs 10,000 in a calendar month."
How do I apply for a international transactions?,"To apply for international transactions on your One Credit Card, you need to enable your International Card Controls. You can do this by navigating to the 'My Card' screen from the second tab at the bottom of the home screen, scrolling down to 'My Controls', clicking on 'View All Controls', and then navigating to the 'International' tab to activate international transactions."
Why was my KYC declined?,I cannot find that information in the provided context.
When will I get my credit limit?,"Your One Credit Card's limit is based on your credit score, financial history, and our internal policies. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep using your OneCard responsibly and making timely repayments to increase your chances of getting a credit limit increase."
Is card upgrade feature available on this card?,The context provided does not directly address whether the card upgrade feature is available on the OneCard. I cannot find that information in the provided context.
How do I get free bitcoins from my credit card?,I cannot find that information in the provided context.
Can you explain EMI in simple terms?,"EMI(s) are part of the Minimum Amount Due (MAD) on your statement, which must be paid by the Due Date. It is important to pay the Total Amount Due (TAD) whenever possible to have a smoother financial journey."
How do I apply for a bill payment?,I cannot find that information in the provided context.
When will I get my offers?,The value back reward points will be credited to your account within 10 days after the purchase.
How do I apply for a rewards?,"To apply for rewards under OnePass, you need to perform specific actions that are linked to rewards. You can view the list of eligible actions within the OnePass details before activation. Only these actions will earn you rewards."
When will I get my security?,I cannot find that information in the provided context.
Why was my EMI declined?,I cannot find that information in the provided context.
Is there a charge for offers?,"With a No Cost EMI offer, there should not be any additional charges as the interest is covered by the merchant through an instant discount or cashback."
Can you explain declines in simple terms?,"Declines can happen to protect your account, especially with certain merchants or high-value transactions. To avoid declines, try making smaller transactions or using different merchants. Also, check your app settings to ensure your payment methods are enabled."
Tell me about interest rate.,The interest rate mentioned in the context is a modest 3.75% monthly interest that will apply if there is an unpaid remaining amount due after the bill due date.
Can I increase my bill payment?,"Paying the monthly bill is the responsibility of the primary cardholder, making it easier for you and your family to enjoy the benefits without worrying about multiple payments. If you are the primary cardholder, you can increase your bill payment by adjusting the amount you pay each month."
What are the international transactions on my card?,The international transactions on your One Credit Card are by default disabled for security reasons. It is recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants.
Can I increase my international transactions?,"Yes, you can increase your international transactions by navigating to the 'My Card' screen, scrolling down to 'My Controls,' clicking on 'View All Controls,' and then going to the 'International' tab to activate different types of transactions. Additionally, you can set transaction limits for each type of transaction from the 'Advanced Controls' section on the same screen."
Is fraud feature available on this card?,❌ This query is flagged as unsafe or manipulative.
Is interest rate feature available on this card?,I cannot find that information in the provided context.
Tell me about offers.,"Discover a world of exciting offers just for you on the Offers page! Get ready for amazing offer descriptions, redemption URLs/codes, and all the key terms and conditions!"
Explain why birds cant swim and how it affects my APR.,I'm not sure based on the knowledge base.
Can you transfer my balance to Mars-based banks?,I cannot find that information in the provided context.
When will I get my interest rate?,You will get an interest rate of 3.75% monthly if there is an unpaid remaining amount due after the bill due date.
Can I increase my EMI?,"Yes, you can increase your EMI in order to pay off your loan faster or reduce the overall interest paid. However, it's important to check with your lender to understand the process and any potential fees associated with increasing your EMI."
Why was my security declined?,"Your credit card security may have been declined when trying to make a purchase online to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled."
What are the app issues on my card?,"The app issues on your card could be related to the card status not being active in the card controls section of your app. You may also need to manage settings for domestic or international payments, contactless payments, and online payments from there. Sometimes, transactions may fail if they are declined to protect you from suspicious activities."
Why was my international transactions declined?,"Your international transaction may have been declined to safeguard your account, especially with high-risk transactions. To avoid this, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if International Payments are enabled."
When will I get my fees?,You can check the status of your successful club or association membership fee payment after 3 to 4 days from the date of payment for a confirmation.
Is there a charge for international transactions?,"Yes, there is a charge for international transactions using OneCard. The charges include a 1% forex fee + 18% GST on every international transaction."
How can I check my interest rate?,"To check your interest rate, you can refer to the information provided in the context. If you pay the total due amount before or on the due date, you won't incur any interest charges. However, if there is an unpaid remaining amount due after the bill due date, a modest 3.75% monthly interest will apply."
What are the metal card on my card?,"The metal card is obtained by making a total fixed deposit amount more than ₹50,000."
Why was my interest rate declined?,I cannot find that information in the provided context.
Is airport lounge feature available on this card?,"Not yet, but the card is gearing up for an exciting addition of an airport lounge access feature that will be launched soon. Stay tuned for updates!"
Can I increase my rewards?,"Yes! You can increase your rewards by redeeming the reward points earned by the add-on family member, adding more value and benefits to your One Credit Card experience. Enjoy the perks together!"
Why was my offers declined?,I cannot find that information in the provided context.
Can I increase my metal card?,"No, the context does not provide information on how to increase a metal card once you have obtained it."
Why was my airport lounge declined?,I cannot find that information in the provided context.
Tell me about transactions.,"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Also, make sure to check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled."
